1,29,0.2271
1,12,0.3431
1,45,0.3490
1,3,0.4011
2,43,0.1475
2,37,0.3545
2,36,0.4974
3,31,0.0237
3,6,0.0931
3,33,0.1388
3,20,0.1850
3,11,0.2277
4,47,0.0559
4,15,0.1734
4,34,0.2220
4,9,0.2868
4,32,0.3013
5,44,0.0785
5,48,0.1152
5,13,0.1412
5,22,0.1432
5,46,0.1581
6,3,0.0931
6,31,0.1010
6,20,0.1052
6,33,0.1354
6,8,0.1451
7,18,0.0300
7,21,0.0326
7,36,0.0609
7,17,0.1140
7,40,0.2000
8,11,0.0310
8,20,0.0471
8,10,0.0615
8,26,0.0732
8,35,0.0839
9,34,0.0785
9,15,0.1316
9,37,0.1922
10,35,0.0287
10,8,0.0615
10,49,0.0817
10,11,0.0882
10,20,0.1050
11,8,0.0310
11,20,0.0450
11,26,0.0470
11,10,0.0882
11,35,0.1061
12,45,0.0226
12,29,0.1213
12,50,0.1575
12,19,0.1645
12,38,0.2504
13,27,0.0457
13,46,0.0991
13,16,0.1252
13,5,0.1412
13,44,0.1878
14,35,0.1044
14,10,0.1311
14,39,0.1474
14,26,0.1596
14,49,0.1647
15,34,0.0544
15,9,0.1316
15,47,0.1468
15,30,0.1714
15,4,0.1734
16,27,0.0797
16,23,0.0959
16,32,0.1024
16,13,0.1252
16,46,0.1510
17,21,0.0838
17,40,0.1068
17,7,0.1140
17,39,0.1276
17,18,0.1420
18,7,0.0300
18,36,0.0601
18,21,0.0625
18,17,0.1420
18,41,0.1949
19,50,0.0246
19,38,0.0867
19,48,0.1166
19,44,0.1303
19,45,0.1576
20,11,0.0450
20,8,0.0471
20,26,0.0883
20,10,0.1050
20,6,0.1052
21,7,0.0326
21,18,0.0625
21,36,0.0788
21,17,0.0838
21,40,0.1676
22,5,0.1432
22,44,0.1602
22,19,0.1917
22,48,0.1934
22,30,0.2019
23,16,0.0959
23,32,0.1296
23,27,0.1730
23,46,0.2175
23,13,0.2186
24,42,0.0081
24,39,0.1429
24,40,0.1438
24,17,0.1871
24,26,0.1926
25,28,0.0228
25,41,0.1913
25,49,0.2852
26,11,0.0470
26,8,0.0732
26,20,0.0883
26,10,0.1156
26,35,0.1237
27,13,0.0457
27,16,0.0797
27,46,0.1011
27,32,0.1569
27,23,0.1730
28,25,0.0228
28,41,0.1935
28,49,0.3077
29,12,0.1213
29,45,0.1332
29,1,0.2271
30,34,0.1479
30,15,0.1714
30,22,0.2019
30,5,0.2374
31,3,0.0237
31,6,0.1010
31,33,0.1201
31,20,0.1825
31,11,0.2233
32,16,0.1024
32,23,0.1296
32,27,0.1569
32,13,0.1932
32,46,0.2484
33,31,0.1201
33,20,0.1328
33,6,0.1354
33,3,0.1388
33,11,0.1547
34,15,0.0544
34,9,0.0785
34,30,0.1479
34,47,0.1875
34,4,0.2220
35,10,0.0287
35,49,0.0816
35,8,0.0839
35,14,0.1044
35,11,0.1061
36,18,0.0601
36,7,0.0609
36,21,0.0788
36,17,0.1599
36,40,0.2241
37,9,0.1922
37,34,0.2265
37,43,0.2389
38,48,0.0460
38,44,0.0808
38,19,0.0867
38,50,0.0945
38,5,0.1590
39,17,0.1276
39,42,0.1361
39,24,0.1429
39,14,0.1474
39,26,0.1523
40,17,0.1068
40,24,0.1438
40,42,0.1467
40,21,0.1676
40,39,0.1796
41,25,0.1913
41,28,0.1935
41,18,0.1949
41,7,0.2131
42,24,0.0081
42,39,0.1361
42,40,0.1467
42,26,0.1850
42,17,0.1851
43,2,0.1475
43,37,0.2389
43,9,0.4237
44,48,0.0395
44,5,0.0785
44,38,0.0808
44,19,0.1303
44,50,0.1496
45,12,0.0226
45,29,0.1332
45,50,0.1475
45,19,0.1576
45,38,0.2417
46,13,0.0991
46,27,0.1011
46,16,0.1510
46,48,0.1559
46,5,0.1581
47,4,0.0559
47,15,0.1468
47,34,0.1875
48,44,0.0395
48,38,0.0460
48,5,0.1152
48,19,0.1166
48,50,0.1310
49,35,0.0816
49,10,0.0817
49,8,0.1374
49,14,0.1647
49,11,0.1672
50,19,0.0246
50,38,0.0945
50,48,0.1310
50,45,0.1475
50,44,0.1496
